Y,ID
3.7,ST2_W114
4.1,ST2_W114
3.5,ST2_W114
2.4,ST2_W114
3.8,ST2_W114
2.7,ST2_W114
4.1,ST2_W114
3.1,ST2_W114
3.8,ST2_W114
3.3,ST2_W114
3.6,ST2_W114
2.7,ST2_W114
2.9,ST2_W114
3.4,ST2_W114
4.6,ST2_W114
4.5,ST2_W114
5.2,ST2_W114
3.7,ST2_W114
3.1,ST2_W114
3.9,ST2_W114
4.4,ST2_W114
5.4,ST2_W114
3.7,ST2_W114
3.1,ST2_W114
1.8,ST2_W114
5.0,ST2_W114
3.6,ST2_Y114
3.1,ST2_Y114
3.3,ST2_Y114
4.6,ST2_Y114
3.9,ST2_Y114
3.3,ST2_Y114
2.9,ST2_Y114
3.7,ST2_Y114
4.0,ST2_Y114
2.4,ST2_Y114
4.3,ST2_Y114
4.5,ST2_Y114
4.8,ST2_Y114
3.9,ST2_Y114
4.3,ST2_Y114
3.2,ST2_Y114
5.5,ST2_Y114
4.2,ST2_Y114
2.9,ST2_Y114
2.2,ST2_Y114
3.4,ST2_Y114
2.9,ST2_Y114
3.1,ST2_Y114
4.3,ST2_Y114
3.5,ST2_Y114
3.2,ST2_Y114
3.0,ST2_Y114
4.5,ST2_Y114
4.7,ST2_Y114
4.8,ST2_Y114
4.2,ST2_Y114
3.4,ST2_Y114
4.2,ST2_Y114
4.1,ST2_Y114
4.6,ST2_Y114
4.0,ST2_Y114
3.5,ST2_Y114
4.7,ST2_Y114
3.0,ST2_Y114
3.2,ST2_Y114
3.2,ST2_Y114
4.7,ST2_Y114
3.9,ST2_Y114
3.5,ST2_Y114
4.7,ST2_Y114
4.9,ST2_Y114
4.5,ST2_Y114
2.1,ST2_Y114
4.1,ST2_Y114
4.4,ST2_Y114
3.7,ST2_Y114
3.5,ST2_Y114
4.5,ST2_Y114
3.0,ST2_Y114
4.6,ST2_Y114
5.0,ST2_Y114
4.3,ST2_Y114
3.6,ST2_Y114
4.1,ST2_Y114
4.6,ST2_Y114
3.4,ST2_Y114
3.4,ST2_Y114
3.2,ST2_Y114
3.2,ST2_Y114
3.3,ST2_Y114
3.7,ST2_Y114
2.7,ST2_Y114
4.8,ST2_Y114
4.7,ST2_Y114
2.9,ST2_Y114
4.5,ST2_Y114
3.6,ST2_Y114
3.0,ST2_Y114
5.0,ST2_Y114
4.3,ST2_Y114
4.7,ST2_Y114
5.4,ST2_Y114
2.5,ST2_Y114
3.8,ST2_Y114
3.7,ST2_Y114
3.5,ST2_Y114
2.7,ST2_Y114
2.7,ST2_Y114
4.6,ST2_Y114
4.0,ST2_Y114
4.2,ST2_Y114
3.3,ST2_Y114
4.9,ST2_Y114
5.3,ST2_Y114
4.4,ST2_Y114
5.5,ST2_Y114
4.3,ST2_Y114
2.9,ST2_Y114
3.5,ST2_Y114
3.6,ST2_Y114
4.2,ST2_Y114
4.2,ST2_Y114
3.4,ST2_Y114
3.7,ST2_Y114
3.3,ST2_Y114
5.1,ST2_Y114
3.2,ST2_Y114
4.3,ST2_Y114
4.7,ST2_Y114
5.1,ST2_Y114
4.6,ST2_Y114
3.9,ST2_Y114
3.4,ST2_Y114
3.7,ST2_Y114
4.1,ST2_Y114
2.3,ST2_Y114
5.7,ST2_Y114
5.2,ST2_Y114
3.5,ST2_Y114
4.4,ST2_Y114
3.9,ST2_Y114
4.5,ST2_Y114
5.4,ST2_Y114
3.8,ST2_Y114
3.9,ST2_Y114
3.5,ST2_Y114
4.9,ST2_Y114
4.6,ST2_Y114
4.9,ST2_Y114
2.1,ST2_Y114
4.2,ST2_Y114
4.4,ST2_Y114
3.8,ST2_Y114
3.7,ST2_Y114
3.9,ST2_Y114
4.7,ST2_Y114
5.1,ST2_Y114
5.8,ST2_Y114
2.4,ST2_Y114
5.4,ST2_Y114
3.8,ST2_Y114
4.2,ST2_Y114
4.1,ST2_Y114
3.9,ST2_Y114
5.0,ST2_Y114
5.0,ST2_Y114
4.7,ST2_Y114
4.3,ST2_Y114
4.1,ST2_Y114
